         8319170 function calls (8259836 primitive calls) in 50.108 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
      406    0.000    0.000    0.000    0.000 __init__.py:21(load)
       12    0.000    0.000    0.001    0.000 __init__.py:2102(safe_listdir)
     1064    0.002    0.000    0.037    0.000 __init__.py:2118(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:212(DuplicateLabelError)
        1    0.000    0.000    0.192    0.192 __init__.py:212(set_tqdm)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:2138(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:2147(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:2163(createLock)
        4    0.000    0.000    0.000    0.000 __init__.py:2167(register_namespace_handler)
       61    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
      105    0.000    0.000    0.000    0.000 __init__.py:218(wrapper)
      562    0.001    0.000    0.026    0.000 __init__.py:2185(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullFrequencyError)
